2019-05-29 05:57:01.000-07:00 - admin: KVM Session Ended
2019-05-29 06:03:03.000-07:00 - admin: KVM Session Started
2019-05-29 06:03:12.000-07:00 - admin: Set Boot Options
2019-05-29 06:03:12.000-07:00 - admin: Set Boot Options
2019-05-29 06:03:12.000-07:00 - admin: Performed Reset
2019-05-29 06:03:41.000-07:00 - admin: KVM Session Ended
2019-05-29 06:06:58.000-07:00 - admin: KVM Session Started
2019-05-29 06:07:03.000-07:00 - admin: Set Boot Options
2019-05-29 06:07:03.000-07:00 - admin: Set Boot Options
2019-05-29 06:07:04.000-07:00 - admin: Performed Reset
2019-05-29 06:07:48.000-07:00 - admin: KVM Session Ended
2019-05-29 06:07:49.000-07:00 - admin: KVM Session Started
2019-05-29 06:08:32.000-07:00 - admin: KVM Session Ended
2019-05-29 06:11:44.000-07:00 - admin: KVM Session Started
2019-05-29 06:11:47.000-07:00 - admin: KVM Session Ended
2019-05-29 06:19:32.000-07:00 - admin: KVM Session Started
2019-05-29 06:19:39.000-07:00 - admin: Set Boot Options
2019-05-29 06:19:39.000-07:00 - admin: Set Boot Options
2019-05-29 06:19:39.000-07:00 - admin: Performed Reset
2019-05-29 06:25:11.000-07:00 - admin: KVM Session Ended
2019-06-07 03:34:22.000-07:00 - $$OsAdmin: ACL Access with Invalid Credentials
2019-06-07 03:38:49.000-07:00 - admin: KVM Session Started
2019-06-07 03:39:03.000-07:00 - admin: Set Boot Options
2019-06-07 03:39:03.000-07:00 - admin: Set Boot Options
2019-06-07 03:39:04.000-07:00 - admin: Performed Reset
2019-06-07 03:40:06.000-07:00 - admin: KVM Session Ended
2019-06-07 05:08:57.000-07:00 - admin: KVM Session Started
2019-06-07 05:09:08.000-07:00 - admin: Set Boot Options
2019-06-07 05:09:08.000-07:00 - admin: Set Boot Options
2019-06-07 05:09:08.000-07:00 - admin: Performed Reset
2019-06-07 05:09:43.000-07:00 - admin: KVM Session Ended
2019-06-07 05:18:01.000-07:00 - admin: KVM Session Started
2019-06-07 05:18:38.000-07:00 - admin: Set Boot Options
2019-06-07 05:18:38.000-07:00 - admin: Set Boot Options
2019-06-07 05:18:38.000-07:00 - admin: Performed Reset
2019-06-07 05:20:09.000-07:00 - admin: KVM Session Ended
2019-06-07 05:40:54.000-07:00 - admin: Set Boot Options
2019-06-07 05:40:54.000-07:00 - admin: Set Boot Options
2019-06-07 05:40:54.000-07:00 - admin: Performed Reset
2019-06-07 05:41:04.000-07:00 - admin: KVM Session Started
2019-06-07 05:42:58.000-07:00 - admin: KVM Session Ended
2019-06-07 05:42:58.000-07:00 - admin: KVM Session Started
2019-06-07 05:43:24.000-07:00 - admin: KVM Session Ended
2019-06-07 05:43:24.000-07:00 - admin: KVM Session Started
2019-06-07 05:43:44.000-07:00 - admin: KVM Session Ended
2019-06-07 05:43:44.000-07:00 - admin: KVM Session Started
2019-06-07 05:43:59.000-07:00 - admin: KVM Session Ended
2019-06-11 22:55:45.000-07:00 - admin: KVM Session Started
2019-06-11 22:56:06.000-07:00 - admin: Set Boot Options
2019-06-11 22:56:06.000-07:00 - admin: Set Boot Options
2019-06-11 22:56:06.000-07:00 - admin: Performed Reset
2019-06-11 22:56:59.000-07:00 - admin: KVM Session Ended
2019-06-11 22:56:59.000-07:00 - admin: Set Boot Options
2019-06-11 22:56:59.000-07:00 - admin: Set Boot Options
2019-06-11 22:56:59.000-07:00 - admin: Performed Power Down
2019-06-11 22:57:39.000-07:00 - admin: Set Boot Options
2019-06-11 22:57:40.000-07:00 - admin: Set Boot Options
2019-06-11 22:57:40.000-07:00 - admin: Performed Power Up
2019-06-11 22:58:13.000-07:00 - admin: SoL Session Opened
2019-06-11 22:59:18.000-07:00 - Local: SoL Session Closed
2019-06-19 06:31:48.000-07:00 - admin: Set Boot Options
2019-06-19 06:31:48.000-07:00 - admin: Set Boot Options
2019-06-19 06:31:48.000-07:00 - admin: Performed Power Down
